DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,All Students,2017-18,391,141,115,67,68,280,71.6%,111,28.4%,16,,110,0.281,235,0.601,20,5.1%,10,2.6%,,,,,,,,,,,,,,,,,,,,,104,,,50,48.1%,30,28.8%,,,,,89,43,48.3%,37,41.6%,,,,,,,0.882
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,All Students,2017-18,237,62,64,61,50,116,48.9%,121,51.1%,22,,53,0.22399999999999998,156,0.6579999999999999,,,,,,,,,,,,,,,,,,,,,,,,,54,18,33.3%,,,,,,,,,53,39,73.6%,10,18.9%,,,,,,,0.8819999999999999
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),All Students,2017-18,523,192,148,96,87,221,42.3%,302,57.7%,23,,51,0.098,409,0.782,11,2.1%,29,5.5%,,,,,,,,,,,,,,,,,,,,,161,40,24.8%,59,36.6%,44,27.3%,18,11.2%,62,38.5%,21,17,81.0%,,,,,,,,,0.88
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),All Students,2017-18,426,113,133,92,88,81,19.0%,345,81.0%,29,,124,0.29100000000000004,251,0.589,8,1.9%,14,3.3%,,,,,,,,,,,,,,,,,,,,,97,,,49,50.5%,23,23.7%,,,,,94,49,52.1%,35,37.2%,,,,,,,0.88
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH,All Students,2017-18,465,132,147,108,78,266,57.2%,199,42.8%,,,116,0.249,293,0.63,,,36,7.7%,,,,,,,,,,,,,,,,,,,,,103,28,27.2%,48,46.6%,,,,,,,95,50,52.6%,38,40.0%,,,,,,,0.879
13K595,BEDFORD ACADEMY HIGH SCHOOL,All Students,2017-18,364,101,87,79,97,193,53.0%,169,46.4%,12,,281,0.772,39,0.107,21,5.8%,11,3.0%,,,,,,,,,,,,,,,,,,,,,74,8,10.8%,27,36.5%,25,33.8%,14,18.9%,39,52.7%,46,16,34.8%,16,34.8%,,,,,,,0.879
32K168,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,All Students,2017-18,269,95,70,59,45,107,39.8%,162,60.2%,15,,127,0.47200000000000003,109,0.405,7,2.6%,11,4.1%,,,,,,,,,,,,,,,,,,,,,72,18,25.0%,26,36.1%,22,30.6%,6,8.3%,28,38.9%,61,19,31.1%,23,37.7%,13,21.3%,6,9.8%,19,31.1%,0.877
02M544,INDEPENDENCE HIGH SCHOOL,All Students,2017-18,334,40,93,97,104,164,49.1%,170,50.9%,,,103,0.308,190,0.569,,,29,8.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877
09X564,CLAREMONT INTERNATIONAL HS,All Students,2017-18,382,87,101,85,109,204,53.4%,178,46.6%,29,,90,0.23600000000000002,245,0.6409999999999999,,,,,,,,,,,,,,,,,,,,,,,,,16,12,75.0%,,,,,,,,,33,24,72.7%,8,24.2%,,,,,,,0.8769999999999999
02M655,LIFE SCIENCES SECONDARY SCHOOL,All Students,2017-18,520,168,160,88,104,266,51.2%,254,48.8%,36,,146,0.281,308,0.5920000000000001,12,2.3%,18,3.5%,,,,,,,,,,,,,,,,,,,,,116,,,49,42.2%,36,31.0%,,,,,100,47,47.0%,43,43.0%,,,,,,,0.8730000000000001
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,All Students,2017-18,523,137,139,150,97,294,56.2%,229,43.8%,39,,144,0.275,313,0.598,8,1.5%,19,3.6%,,,,,,,,,,,,,,,,,,,,,89,18,20.2%,37,41.6%,26,29.2%,8,9.0%,34,38.2%,74,32,43.2%,30,40.5%,,,,,,,0.873
08X349,BRONX RIVER HIGH SCHOOL,All Students,2017-18,405,110,103,97,95,169,41.7%,236,58.3%,21,,87,0.215,266,0.657,11,2.7%,20,4.9%,,,,,,,,,,,,,,,,,,,,,76,24,31.6%,35,46.1%,,,,,,,71,45,63.4%,21,29.6%,,,,,,,0.872
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,All Students,2017-18,255,70,63,65,57,144,56.5%,111,43.5%,19,,26,0.102,196,0.769,,,,,,,,,,,,,,,,,,,,,,,,,68,9,13.2%,6,8.8%,28,41.2%,25,36.8%,53,77.9%,12,9,75.0%,,,,,,,,,0.871
15K463,SECONDARY SCHOOL FOR JOURNALISM,All Students,2017-18,215,48,54,57,56,130,60.5%,85,39.5%,,,103,0.479,84,0.391,,,17,7.9%,,,,,,,,,,,,,,,,,,,,,34,,,11,32.4%,12,35.3%,,,,,33,15,45.5%,18,54.5%,,,,,,,0.87
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,All Students,2017-18,476,121,128,118,109,153,32.1%,323,67.9%,31,,136,0.28600000000000003,277,0.5820000000000001,13,2.7%,19,4.0%,,,,,,,,,,,,,,,,,,,,,106,,,40,37.7%,33,31.1%,,,,,88,47,53.4%,33,37.5%,,,,,,,0.8680000000000001
02M449,VANGUARD HIGH SCHOOL,All Students,2017-18,446,124,117,94,111,232,52.0%,214,48.0%,20,,123,0.276,263,0.59,16,3.6%,24,5.4%,,,,,,,,,,,,,,,,,,,,,104,17,16.3%,52,50.0%,29,27.9%,6,5.8%,35,33.7%,94,43,45.7%,43,45.7%,,,,,,,0.866
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TEC",All Students,2017-18,562,183,151,105,123,226,40.2%,336,59.8%,40,,389,0.6920000000000001,97,0.17300000000000001,16,2.8%,20,3.6%,,,,,,,,,,,,,,,,,,,,,163,24,14.7%,66,40.5%,56,34.4%,17,10.4%,73,44.8%,139,54,38.8%,55,39.6%,,,,,,,0.8650000000000001
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,All Students,2017-18,201,34,68,69,30,83,41.3%,118,58.7%,9,,64,0.318,110,0.547,9,4.5%,9,4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",All Students,2017-18,386,108,100,100,78,134,34.7%,252,65.3%,33,,99,0.256,235,0.609,7,1.8%,12,3.1%,,,,,,,,,,,,,,,,,,,,,95,31,32.6%,31,32.6%,,,,,,,87,50,57.5%,28,32.2%,,,,,,,0.865
11X508,BRONXDALE HIGH SCHOOL,All Students,2017-18,453,123,142,97,91,208,45.9%,245,54.1%,,,129,0.285,262,0.578,,,34,7.5%,,,,,,,,,,,,,,,,,,,,,111,20,18.0%,49,44.1%,36,32.4%,6,5.4%,42,37.8%,96,47,49.0%,42,43.8%,,,,,,,0.863
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIE,All Students,2017-18,415,102,107,109,97,205,49.4%,209,50.4%,14,,164,0.395,194,0.467,9,2.2%,34,8.2%,,,,,,,,,,,,,,,,,,,,,48,,,19,39.6%,20,41.7%,,,,,42,15,35.7%,16,38.1%,,,,,,,0.8620000000000001
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,All Students,2017-18,441,157,115,95,74,219,49.7%,222,50.3%,,,110,0.249,270,0.612,,,43,9.8%,,,,,,,,,,,,,,,,,,,,,98,,,46,46.9%,26,26.5%,,,,,97,54,55.7%,37,38.1%,,,,,,,0.861
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,All Students,2017-18,243,84,58,36,65,,,,,11,,126,0.519,83,0.342,6,2.5%,17,7.0%,,,,,,,,,,,,,,,,,,,,,79,13,16.5%,39,49.4%,21,26.6%,6,7.6%,27,34.2%,73,29,39.7%,34,46.6%,,,,,,,0.861
14K561,WILLIAMSBURG PREPARATORY SCHOOL,All Students,2017-18,676,169,184,161,162,326,48.2%,350,51.8%,,,116,0.172,465,0.688,,,70,10.4%,,,,,,,,,,,,,,,,,,,,,162,26,16.0%,74,45.7%,50,30.9%,12,7.4%,62,38.3%,137,68,49.6%,54,39.4%,,,,,,,0.8599999999999999
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,All Students,2017-18,421,128,109,92,92,207,49.2%,214,50.8%,32,,173,0.41100000000000003,188,0.447,13,3.1%,15,3.6%,,,,,,,,,,,,,,,,,,,,,88,22,25.0%,36,40.9%,24,27.3%,6,6.8%,30,34.1%,64,44,68.8%,17,26.6%,,,,,,,0.8580000000000001
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,All Students,2017-18,499,168,155,84,92,332,66.5%,166,33.3%,36,,125,0.251,301,0.603,24,4.8%,13,2.6%,,,,,,,,,,,,,,,,,,,,,96,,,33,34.4%,37,38.5%,,,,,79,30,38.0%,37,46.8%,,,,,,,0.854
27Q351,ROCKAWAY COLLEGIATE HIGH SCHOOL,All Students,2017-18,329,106,104,43,76,159,48.3%,170,51.7%,18,,172,0.523,108,0.32799999999999996,14,4.3%,17,5.2%,,,,,,,,,,,,,,,,,,,,,58,22,37.9%,24,41.4%,,,,,,,44,31,70.5%,11,25.0%,,,,,,,0.851
24Q744,VOYAGES PREPARATORY,All Students,2017-18,271,271,,,,102,37.6%,169,62.4%,23,,42,0.155,188,0.6940000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8490000000000001
15K464,PARK SLOPE COLLEGIATE,All Students,2017-18,428,121,133,95,79,183,42.8%,245,57.2%,18,,173,0.40399999999999997,190,0.444,14,3.3%,33,7.7%,,,,,,,,,,,,,,,,,,,,,95,,,44,46.3%,30,31.6%,,,,,72,36,50.0%,30,41.7%,,,,,,,0.848
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,All Students,2017-18,285,81,76,67,61,105,36.8%,180,63.2%,17,,216,0.758,25,0.08800000000000001,7,2.5%,20,7.0%,,,,,,,,,,,,,,,,,,,,,52,13,25.0%,26,50.0%,,,,,,,51,34,66.7%,13,25.5%,,,,,,,0.846
12X550,HIGH SCHOOL OF WORLD CULTURES,All Students,2017-18,448,93,131,127,97,200,44.6%,248,55.4%,41,,34,0.076,345,0.77,7,1.6%,21,4.7%,,,,,,,,,,,,,,,,,,,,,19,10,52.6%,7,36.8%,,,,,,,30,17,56.7%,12,40.0%,,,,,,,0.846
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,All Students,2017-18,376,94,109,84,89,159,42.3%,217,57.7%,22,,99,0.263,219,0.5820000000000001,7,1.9%,29,7.7%,,,,,,,,,,,,,,,,,,,,,68,,,28,41.2%,21,30.9%,,,,,64,37,57.8%,22,34.4%,,,,,,,0.8450000000000001
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,All Students,2017-18,812,258,201,183,170,457,56.3%,355,43.7%,70,,64,0.079,620,0.764,14,1.7%,44,5.4%,,,,,,,,,,,,,,,,,,,,,196,35,17.9%,62,31.6%,74,37.8%,25,12.8%,99,50.5%,167,57,34.1%,65,38.9%,35,21.0%,10,6.0%,45,26.9%,0.843
02M374,GRAMERCY ARTS HIGH SCHOOL,All Students,2017-18,491,138,152,95,106,364,74.1%,127,25.9%,18,,176,0.358,238,0.485,29,5.9%,30,6.1%,,,,,,,,,,,,,,,,,,,,,107,10,9.3%,44,41.1%,40,37.4%,13,12.1%,53,49.5%,93,37,39.8%,38,40.9%,,,,,,,0.843
02M432,MURRAY HILL ACADEMY,All Students,2017-18,317,105,114,58,40,161,50.8%,156,49.2%,24,,99,0.312,168,0.53,10,3.2%,16,5.0%,,,,,,,,,,,,,,,,,,,,,70,19,27.1%,33,47.1%,12,17.1%,6,8.6%,18,25.7%,65,34,52.3%,23,35.4%,,,,,,,0.8420000000000001
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,All Students,2017-18,324,83,83,72,86,,,,,30,,75,0.231,198,0.611,9,2.8%,12,3.7%,,,,,,,,,,,,,,,,,,,,,78,,,20,25.6%,43,55.1%,,,,,71,23,32.4%,25,35.2%,,,,,,,0.842
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,All Students,2017-18,226,,172,36,18,90,39.8%,136,60.2%,,,30,0.133,160,0.708,,,25,11.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,All Students,2017-18,498,167,127,101,103,229,46.0%,269,54.0%,50,,305,0.612,113,0.22699999999999998,19,3.8%,11,2.2%,,,,,,,,,,,,,,,,,,,,,129,37,28.7%,57,44.2%,,,,,,,103,64,62.1%,33,32.0%,,,,,,,0.839
02M298,PACE HIGH SCHOOL,All Students,2017-18,537,155,165,115,102,311,57.9%,225,41.9%,43,,177,0.33,272,0.507,24,4.5%,21,3.9%,,,,,,,,,,,,,,,,,,,,,111,11,9.9%,49,44.1%,42,37.8%,9,8.1%,51,45.9%,95,26,27.4%,53,55.8%,,,,,,,0.837
10X440,DEWITT CLINTON HIGH SCHOOL,All Students,2017-18,1203,381,400,227,195,532,44.2%,671,55.8%,128,,394,0.32799999999999996,611,0.508,24,2.0%,46,3.8%,,,,,,,,,,,,,,,,,,,,,226,58,25.7%,80,35.4%,70,31.0%,18,8.0%,88,38.9%,198,100,50.5%,71,35.9%,,,,,,,0.836
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,All Students,2017-18,458,147,130,65,116,97,21.2%,361,78.8%,23,,277,0.605,105,0.22899999999999998,11,2.4%,42,9.2%,,,,,,,,,,,,,,,,,,,,,92,29,31.5%,41,44.6%,,,,,,,85,47,55.3%,29,34.1%,,,,,,,0.834
02M605,HUMANITIES PREPARATORY ACADEMY,All Students,2017-18,235,56,61,58,60,129,54.9%,106,45.1%,,,52,0.221,144,0.613,,,,,,,,,,,,,,,,,,,,,,,,,43,,,16,37.2%,22,51.2%,,,,,41,16,39.0%,19,46.3%,,,,,,,0.834
02M308,LOWER MANHATTAN ARTS ACADEMY,All Students,2017-18,329,104,86,71,68,234,71.1%,95,28.9%,27,,91,0.27699999999999997,183,0.556,19,5.8%,9,2.7%,,,,,,,,,,,,,,,,,,,,,72,,,35,48.6%,21,29.2%,,,,,68,43,63.2%,23,33.8%,,,,,,,0.833
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,All Students,2017-18,430,149,115,83,83,129,30.0%,300,69.8%,46,,95,0.221,260,0.605,12,2.8%,17,4.0%,,,,,,,,,,,,,,,,,,,,,123,20,16.3%,51,41.5%,44,35.8%,8,6.5%,52,42.3%,109,40,36.7%,57,52.3%,,,,,,,0.826
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,All Students,2017-18,40,40,,,,,,,,,,22,0.55,11,0.275,,,,,,,,,,,,,,,,,,,,,,,,,36,8,22.2%,20,55.6%,,,,,,,34,17,50.0%,16,47.1%,,,,,,,0.8250000000000001
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,All Students,2017-18,437,101,124,125,87,226,51.7%,211,48.3%,56,,79,0.18100000000000002,281,0.643,,,,,,,,,,,,,,,,,,,,,,,,,83,30,36.1%,15,18.1%,25,30.1%,13,15.7%,38,45.8%,78,35,44.9%,29,37.2%,8,10.3%,6,7.7%,14,17.9%,0.8240000000000001
15K667,SUNSET PARK HIGH SCHOOL,All Students,2017-18,1230,300,330,299,301,567,46.1%,663,53.9%,117,,102,0.083,911,0.741,6,0.5%,94,7.6%,,,,,,,,,,,,,,,,,,,,,255,67,26.3%,109,42.7%,68,26.7%,11,4.3%,79,31.0%,251,121,48.2%,90,35.9%,29,11.6%,11,4.4%,40,15.9%,0.824
