DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
03M404,INNOVATION DIPLOMA PLUS,All Students,2017-18,188,,45,65,78,94,50.0%,94,50.0%,,,70,0.37200000000000005,113,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9730000000000001
04M372,ESPERANZA PREPARATORY ACADEMY,All Students,2017-18,368,90,117,76,85,180,48.9%,188,51.1%,,,37,0.10099999999999999,321,0.872,,,8,2.2%,,,,,,,,,,,,,,,,,,,,,68,21,30.9%,28,41.2%,,,,,,,68,43,63.2%,22,32.4%,,,,,,,0.973
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,All Students,2017-18,353,110,90,60,93,128,36.3%,225,63.7%,,,319,0.904,24,0.068,,,,,,,,,,,,,,,,,,,,,,,,,60,14,23.3%,35,58.3%,,,,,,,55,35,63.6%,19,34.5%,,,,,,,0.972
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,All Students,2017-18,214,15,46,57,96,104,48.6%,110,51.4%,,,159,0.743,49,0.22899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,All Students,2017-18,463,157,111,111,84,51,11.0%,412,89.0%,,,106,0.22899999999999998,344,0.743,,,7,1.5%,,,,,,,,,,,,,,,,,,,,,151,67,44.4%,68,45.0%,,,,,,,149,105,70.5%,37,24.8%,,,,,,,0.972
23K644,EAGLE ACADEMY FOR YOUNG MEN II,All Students,2017-18,363,95,95,88,85,,,,,,,322,0.887,31,0.085,,,,,,,,,,,,,,,,,,,,,,,,,83,27,32.5%,40,48.2%,,,,,,,16,9,56.3%,6,37.5%,,,,,,,0.972
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,All Students,2017-18,408,121,109,88,90,193,47.3%,215,52.7%,,,46,0.113,350,0.858,,,7,1.7%,,,,,,,,,,,,,,,,,,,,,65,24,36.9%,28,43.1%,,,,,,,68,51,75.0%,16,23.5%,,,,,,,0.971
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,All Students,2017-18,418,111,101,98,108,211,50.5%,207,49.5%,,,19,0.045,387,0.9259999999999999,,,6,1.4%,,,,,,,,,,,,,,,,,,,,,98,17,17.3%,37,37.8%,38,38.8%,6,6.1%,44,44.9%,97,47,48.5%,41,42.3%,,,,,,,0.971
12X267,BRONX LATIN,All Students,2017-18,340,88,90,85,77,158,46.5%,182,53.5%,7,,64,0.188,266,0.782,,,,,,,,,,,,,,,,,,,,,,,,,87,9,10.3%,43,49.4%,28,32.2%,7,8.0%,35,40.2%,32,18,56.3%,13,40.6%,,,,,,,0.97
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,All Students,2017-18,401,128,93,85,95,200,49.9%,201,50.1%,6,,115,0.287,274,0.6829999999999999,,,,,,,,,,,,,,,,,,,,,,,,,117,26,22.2%,58,49.6%,27,23.1%,6,5.1%,33,28.2%,113,72,63.7%,30,26.5%,,,,,,,0.97
15K423,BROOKLYN FRONTIERS HIGH SCHOOL,All Students,2017-18,168,83,44,28,13,77,45.8%,91,54.2%,,,131,0.78,32,0.19,,,,,,,,,,,,,,,,,,,,,,,,,20,9,45.0%,10,50.0%,,,,,,,20,16,80.0%,,,,,,,,,0.97
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,All Students,2017-18,583,204,162,96,121,287,49.2%,296,50.8%,,,183,0.314,382,0.655,,,10,1.7%,,,,,,,,,,,,,,,,,,,,,135,51,37.8%,63,46.7%,,,,,,,138,93,67.4%,44,31.9%,,,,,,,0.9690000000000001
12X251,EXPLORATIONS ACADEMY H.S.,All Students,2017-18,351,57,93,99,102,144,41.0%,207,59.0%,6,,105,0.299,235,0.67,,,,,,,,,,,,,,,,,,,,,,,,,37,11,29.7%,19,51.4%,,,,,,,34,15,44.1%,16,47.1%,,,,,,,0.9690000000000001
09X252,MOTT HALL BRONX HIGH SCHOOL,All Students,2017-18,387,92,94,99,102,198,51.2%,189,48.8%,,,91,0.235,284,0.7340000000000001,6,1.6%,,,,,,,,,,,,,,,,,,,,,,,83,,,41,49.4%,22,26.5%,,,,,75,47,62.7%,21,28.0%,,,,,,,0.9690000000000001
09X350,NEW DIRECTIONS SECONDARY SCHOOL,All Students,2017-18,129,54,47,,,47,36.4%,82,63.6%,,,31,0.24,94,0.7290000000000001,,,,,,,,,,,,,,,,,,,,,,,,,24,14,58.3%,10,41.7%,,,,,,,25,19,76.0%,6,24.0%,,,,,,,0.9690000000000001
13K412,BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),All Students,2017-18,425,128,120,99,78,239,56.2%,186,43.8%,,,307,0.722,105,0.247,7,1.6%,,,,,,,,,,,,,,,,,,,,,,,119,27,22.7%,60,50.4%,21,17.6%,11,9.2%,32,26.9%,106,59,55.7%,41,38.7%,,,,,,,0.969
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,All Students,2017-18,358,114,119,56,69,160,44.7%,198,55.3%,,,88,0.24600000000000002,259,0.723,6,1.7%,,,,,,,,,,,,,,,,,,,,,,,52,26,50.0%,20,38.5%,,,,,,,47,34,72.3%,11,23.4%,,,,,,,0.969
12X321,CROTONA ACADEMY HIGH SCHOOL,All Students,2017-18,128,10,32,32,54,70,54.7%,58,45.3%,,,49,0.38299999999999995,75,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9689999999999999
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,All Students,2017-18,218,29,75,55,59,115,52.8%,103,47.2%,,,76,0.349,135,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,All Students,2017-18,255,67,92,51,45,78,30.6%,177,69.4%,,,212,0.831,35,0.13699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,43,14,32.6%,18,41.9%,,,,,,,42,24,57.1%,17,40.5%,,,,,,,0.968
08X559,SCHOOL FOR TOURISM AND HOSPITALITY,All Students,2017-18,305,93,74,93,45,176,57.7%,129,42.3%,,,99,0.325,196,0.643,,,6,2.0%,,,,,,,,,,,,,,,,,,,,,46,19,41.3%,17,37.0%,,,,,,,41,25,61.0%,14,34.1%,,,,,,,0.968
12X271,EAST BRONX ACADEMY FOR THE FUTURE,All Students,2017-18,403,104,108,91,100,195,48.4%,208,51.6%,,,109,0.27,281,0.6970000000000001,,,,,,,,,,,,,,,,,,,,,,,,,94,37,39.4%,39,41.5%,,,,,,,95,61,64.2%,31,32.6%,,,,,,,0.9670000000000001
07X548,CAREERS IN SPORTS HIGH SCHOOL,All Students,2017-18,515,149,151,122,93,106,20.6%,409,79.4%,,,150,0.29100000000000004,348,0.6759999999999999,,,10,1.9%,,,,,,,,,,,,,,,,,,,,,108,29,26.9%,42,38.9%,30,27.8%,7,6.5%,37,34.3%,97,48,49.5%,34,35.1%,,,,,,,0.967
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,All Students,2017-18,181,,90,53,38,97,53.6%,84,46.4%,,,71,0.392,104,0.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,All Students,2017-18,498,122,137,116,123,235,47.2%,263,52.8%,,,42,0.084,439,0.882,,,11,2.2%,,,,,,,,,,,,,,,,,,,,,106,32,30.2%,54,50.9%,,,,,,,103,66,64.1%,32,31.1%,,,,,,,0.966
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,All Students,2017-18,264,53,72,66,73,107,40.5%,157,59.5%,,,192,0.727,63,0.239,,,,,,,,,,,,,,,,,,,,,,,,,32,13,40.6%,17,53.1%,,,,,,,27,17,63.0%,8,29.6%,,,,,,,0.966
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,All Students,2017-18,271,75,70,64,62,115,42.4%,156,57.6%,,,228,0.841,34,0.125,,,,,,,,,,,,,,,,,,,,,,,,,43,,,20,46.5%,13,30.2%,,,,,40,20,50.0%,16,40.0%,,,,,,,0.966
12X248,"METROPOLITAN HIGH SCHOOL, THE",All Students,2017-18,411,111,138,82,80,181,44.0%,230,56.0%,7,,104,0.253,293,0.713,,,,,,,,,,,,,,,,,,,,,,,,,68,28,41.2%,26,38.2%,,,,,,,63,45,71.4%,12,19.0%,,,,,,,0.966
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,All Students,2017-18,296,96,58,70,72,214,72.3%,82,27.7%,,,240,0.8109999999999999,46,0.155,,,,,,,,,,,,,,,,,,,,,,,,,79,20,25.3%,40,50.6%,,,,,,,75,46,61.3%,25,33.3%,,,,,,,0.966
23K643,BROOKLYN DEMOCRACY ACADEMY,All Students,2017-18,230,45,61,41,83,98,42.6%,132,57.4%,,,185,0.804,37,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9650000000000001
12X684,WINGS ACADEMY,All Students,2017-18,491,180,130,89,92,170,34.6%,321,65.4%,,,272,0.5539999999999999,202,0.41100000000000003,10,2.0%,,,,,,,,,,,,,,,,,,,,,,,143,44,30.8%,66,46.2%,,,,,,,134,100,74.6%,30,22.4%,,,,,,,0.965
08X537,BRONX ARENA HIGH SCHOOL,All Students,2017-18,226,55,94,60,17,125,55.3%,101,44.7%,,,86,0.381,132,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,All Students,2017-18,513,168,151,118,76,221,43.1%,292,56.9%,,,141,0.275,354,0.69,,,7,1.4%,,,,,,,,,,,,,,,,,,,,,112,35,31.3%,50,44.6%,,,,,,,103,66,64.1%,31,30.1%,,,,,,,0.965
07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC",All Students,2017-18,496,116,120,117,143,359,72.4%,137,27.6%,,,191,0.385,287,0.579,8,1.6%,,,,,,,,,,,,,,,,,,,,,,,97,27,27.8%,43,44.3%,21,21.6%,6,6.2%,27,27.8%,93,49,52.7%,34,36.6%,,,,,,,0.964
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,All Students,2017-18,381,111,100,88,82,194,50.9%,187,49.1%,,,334,0.877,33,0.087,8,2.1%,,,,,,,,,,,,,,,,,,,,,,,82,,,36,43.9%,24,29.3%,,,,,80,35,43.8%,36,45.0%,,,,,,,0.964
19K404,ACADEMY FOR YOUNG WRITERS,All Students,2017-18,326,92,89,77,68,203,62.3%,123,37.7%,,,235,0.721,79,0.242,6,1.8%,,,,,,,,,,,,,,,,,,,,,,,89,,,39,43.8%,30,33.7%,,,,,82,47,57.3%,29,35.4%,,,,,,,0.963
10X353,WORLD VIEW HIGH SCHOOL,All Students,2017-18,495,147,159,105,84,257,51.9%,238,48.1%,,,109,0.22,368,0.743,10,2.0%,,,,,,,,,,,,,,,,,,,,,,,112,25,22.3%,46,41.1%,35,31.3%,6,5.4%,41,36.6%,108,48,44.4%,44,40.7%,,,,,,,0.963
19K422,SPRING CREEK COMMUNITY SCHOOL,All Students,2017-18,242,92,89,61,,115,47.5%,127,52.5%,,,183,0.7559999999999999,50,0.207,6,2.5%,,,,,,,,,,,,,,,,,,,,,,,81,24,29.6%,37,45.7%,,,,,,,77,46,59.7%,28,36.4%,,,,,,,0.9629999999999999
09X404,SCHOOL FOR EXCELLENCE,All Students,2017-18,375,92,108,79,96,170,45.3%,205,54.7%,,,92,0.245,269,0.7170000000000001,,,,,,,,,,,,,,,,,,,,,,,,,52,19,36.5%,23,44.2%,,,,,,,55,37,67.3%,12,21.8%,,,,,,,0.9620000000000001
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,All Students,2017-18,157,37,44,35,41,67,42.7%,90,57.3%,,,132,0.841,19,0.121,,,,,,,,,,,,,,,,,,,,,,,,,24,8,33.3%,10,41.7%,,,,,,,24,12,50.0%,10,41.7%,,,,,,,0.962
05M285,HARLEM RENAISSANCE HIGH SCHOOL,All Students,2017-18,233,34,43,50,106,126,54.1%,107,45.9%,6,,102,0.43799999999999994,122,0.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,All Students,2017-18,236,62,51,58,65,124,52.5%,112,47.5%,,,17,0.07200000000000001,210,0.89,6,2.5%,,,,,,,,,,,,,,,,,,,,,,,53,20,37.7%,26,49.1%,,,,,,,50,35,70.0%,13,26.0%,,,,,,,0.962
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,All Students,2017-18,504,205,130,89,80,92,18.3%,412,81.7%,,,142,0.282,342,0.679,,,,,,,,,,,,,,,,,,,,,,,,,90,42,46.7%,31,34.4%,,,,,,,81,56,69.1%,22,27.2%,,,,,,,0.9610000000000001
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,All Students,2017-18,232,,93,71,68,99,42.7%,133,57.3%,,,64,0.276,159,0.685,,,7,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9610000000000001
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,All Students,2017-18,281,89,75,56,61,126,44.8%,155,55.2%,,,48,0.171,222,0.79,6,2.1%,,,,,,,,,,,,,,,,,,,,,,,67,28,41.8%,25,37.3%,,,,,,,65,43,66.2%,16,24.6%,,,,,,,0.9610000000000001
13K553,BROOKLYN ACADEMY HIGH SCHOOL,All Students,2017-18,157,,85,45,27,85,54.1%,72,45.9%,,,112,0.713,39,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961
13K350,URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,All Students,2017-18,221,49,73,55,44,145,65.6%,76,34.4%,,,171,0.774,41,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,27,7,25.9%,15,55.6%,,,,,,,23,15,65.2%,8,34.8%,,,,,,,0.9600000000000001
32K552,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,All Students,2017-18,197,53,40,44,60,85,43.1%,112,56.9%,,,35,0.17800000000000002,154,0.782,,,,,,,,,,,,,,,,,,,,,,,,,42,16,38.1%,20,47.6%,,,,,,,44,34,77.3%,10,22.7%,,,,,,,0.9600000000000001
08X377,BRONX COMMUNITY HIGH SCHOOL,All Students,2017-18,175,22,79,46,28,92,52.6%,83,47.4%,,,62,0.354,106,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96
02M570,SATELLITE ACADEMY HIGH SCHOOL,All Students,2017-18,298,295,,,,176,59.1%,122,40.9%,,,114,0.38299999999999995,172,0.5770000000000001,,,8,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",All Students,2017-18,390,71,97,103,119,185,47.4%,205,52.6%,,,350,0.897,24,0.062,,,9,2.3%,,,,,,,,,,,,,,,,,,,,,54,,,23,42.6%,15,27.8%,,,,,58,27,46.6%,23,39.7%,,,,,,,0.9590000000000001
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,All Students,2017-18,766,163,205,234,164,352,46.0%,414,54.0%,,,249,0.325,486,0.634,16,2.1%,,,,,,,,,,,,,,,,,,,,,,,116,35,30.2%,47,40.5%,28,24.1%,6,5.2%,34,29.3%,114,67,58.8%,36,31.6%,,,,,,,0.9590000000000001
08X530,LONGWOOD PREPARATORY ACADEMY,All Students,2017-18,199,69,51,38,41,79,39.7%,120,60.3%,,,59,0.29600000000000004,132,0.6629999999999999,,,,,,,,,,,,,,,,,,,,,,,,,53,26,49.1%,21,39.6%,,,,,,,55,39,70.9%,16,29.1%,,,,,,,0.959
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,All Students,2017-18,450,131,155,101,63,260,57.8%,190,42.2%,9,,298,0.662,133,0.29600000000000004,,,,,,,,,,,,,,,,,,,,,,,,,64,22,34.4%,21,32.8%,,,,,,,63,37,58.7%,22,34.9%,,,,,,,0.9580000000000001
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,All Students,2017-18,432,146,102,97,87,234,54.2%,198,45.8%,,,149,0.345,265,0.613,,,,,,,,,,,,,,,,,,,,,,,,,115,20,17.4%,50,43.5%,35,30.4%,10,8.7%,45,39.1%,99,45,45.5%,48,48.5%,,,,,,,0.958
14K586,LYONS COMMUNITY SCHOOL,All Students,2017-18,331,86,85,75,85,158,47.7%,173,52.3%,,,110,0.332,207,0.625,,,10,3.0%,,,,,,,,,,,,,,,,,,,,,60,30,50.0%,22,36.7%,,,,,,,60,46,76.7%,10,16.7%,,,,,,,0.9570000000000001
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,All Students,2017-18,117,,34,47,36,67,57.3%,50,42.7%,,,97,0.8290000000000001,15,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9570000000000001
17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (,All Students,2017-18,592,122,133,121,216,148,25.0%,444,75.0%,,,497,0.84,69,0.11699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,107,30,28.0%,44,41.1%,,,,,,,102,51,50.0%,40,39.2%,,,,,,,0.957
05M367,ACADEMY FOR SOCIAL ACTION,All Students,2017-18,93,15,27,25,26,32,34.4%,61,65.6%,,,45,0.484,44,0.473,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,9,9,100.0%,,,,,,,,,0.957
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,All Students,2017-18,424,106,120,95,103,175,41.3%,249,58.7%,,,183,0.43200000000000005,222,0.524,8,1.9%,,,,,,,,,,,,,,,,,,,,,,,86,37,43.0%,36,41.9%,,,,,,,83,59,71.1%,21,25.3%,,,,,,,0.9560000000000001
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,All Students,2017-18,382,97,92,106,87,203,53.1%,179,46.9%,9,,100,0.262,265,0.6940000000000001,,,,,,,,,,,,,,,,,,,,,,,,,97,,,42,43.3%,35,36.1%,,,,,93,46,49.5%,35,37.6%,,,,,,,0.9560000000000001
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,All Students,2017-18,336,87,110,68,71,169,50.3%,167,49.7%,,,93,0.27699999999999997,228,0.679,,,10,3.0%,,,,,,,,,,,,,,,,,,,,,76,32,42.1%,27,35.5%,,,,,,,70,60,85.7%,10,14.3%,,,,,,,0.956
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,All Students,2017-18,319,161,52,68,38,139,43.6%,180,56.4%,,,277,0.868,28,0.08800000000000001,,,6,1.9%,,,,,,,,,,,,,,,,,,,,,36,,,15,41.7%,10,27.8%,,,,,35,15,42.9%,14,40.0%,,,,,,,0.956
12X480,BRONX REGIONAL HIGH SCHOOL,All Students,2017-18,230,,84,68,78,129,56.1%,101,43.9%,,,79,0.34299999999999997,141,0.613,,,6,2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956
02M303,"FACING HISTORY SCHOOL, THE",All Students,2017-18,382,93,121,92,76,174,45.5%,208,54.5%,,,94,0.24600000000000002,271,0.7090000000000001,,,,,,,,,,,,,,,,,,,,,,,,,56,12,21.4%,32,57.1%,,,,,,,50,27,54.0%,15,30.0%,,,,,,,0.9550000000000001
14K477,EAST WILLIAMSBURG SCHOLARS ACADEMY,All Students,2017-18,335,66,81,89,99,162,48.4%,173,51.6%,,,134,0.4,186,0.555,7,2.1%,,,,,,,,,,,,,,,,,,,,,,,26,,,9,34.6%,,,,,,,27,15,55.6%,11,40.7%,,,,,,,0.9550000000000001
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,All Students,2017-18,269,71,80,62,56,124,46.1%,145,53.9%,,,10,0.037000000000000005,247,0.9179999999999999,,,8,3.0%,,,,,,,,,,,,,,,,,,,,,16,14,87.5%,,,,,,,,,20,14,70.0%,,,,,,,,,0.955
19K502,FDNY - CAPTAIN VERNON A. RICHARD HIGH SCHOOL FOR F,All Students,2017-18,333,107,87,66,73,81,24.3%,252,75.7%,,,239,0.718,79,0.237,10,3.0%,,,,,,,,,,,,,,,,,,,,,,,66,24,36.4%,30,45.5%,,,,,,,61,44,72.1%,14,23.0%,,,,,,,0.955
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,All Students,2017-18,374,101,108,86,79,201,53.7%,173,46.3%,8,,256,0.684,101,0.27,,,,,,,,,,,,,,,,,,,,,,,,,89,20,22.5%,37,41.6%,26,29.2%,6,6.7%,32,36.0%,85,50,58.8%,27,31.8%,,,,,,,0.9540000000000001
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,All Students,2017-18,261,72,74,68,47,160,61.3%,101,38.7%,6,,184,0.705,65,0.249,,,,,,,,,,,,,,,,,,,,,,,,,61,,,33,54.1%,,,,,,,58,38,65.5%,17,29.3%,,,,,,,0.954
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,All Students,2017-18,402,133,107,88,74,279,69.4%,123,30.6%,6,,106,0.264,277,0.6890000000000001,6,1.5%,7,1.7%,,,,,,,,,,,,,,,,,,,,,105,28,26.7%,46,43.8%,24,22.9%,7,6.7%,31,29.5%,100,55,55.0%,33,33.0%,,,,,,,0.9530000000000001
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,All Students,2017-18,356,138,102,59,57,278,78.1%,78,21.9%,,,185,0.52,154,0.433,13,3.7%,,,,,,,,,,,,,,,,,,,,,,,112,,,54,48.2%,31,27.7%,,,,,98,52,53.1%,39,39.8%,,,,,,,0.9530000000000001
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,All Students,2017-18,296,98,65,70,63,138,46.6%,158,53.4%,6,,77,0.26,205,0.693,,,,,,,,,,,,,,,,,,,,,,,,,65,22,33.8%,31,47.7%,,,,,,,68,44,64.7%,20,29.4%,,,,,,,0.953
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,All Students,2017-18,376,112,101,87,76,156,41.5%,220,58.5%,6,,57,0.152,301,0.8009999999999999,6,1.6%,6,1.6%,,,,,,,,,,,,,,,,,,,,,92,27,29.3%,32,34.8%,24,26.1%,9,9.8%,33,35.9%,82,36,43.9%,35,42.7%,,,,,,,0.953
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Students,2017-18,313,87,92,73,61,111,35.5%,202,64.5%,10,,201,0.642,97,0.31,,,,,,,,,,,,,,,,,,,,,,,,,61,18,29.5%,34,55.7%,,,,,,,42,29,69.0%,12,28.6%,,,,,,,0.952
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,All Students,2017-18,463,151,130,88,94,226,48.8%,237,51.2%,11,,69,0.149,372,0.8029999999999999,,,,,,,,,,,,,,,,,,,,,,,,,110,42,38.2%,47,42.7%,,,,,,,113,66,58.4%,38,33.6%,,,,,,,0.952
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,All Students,2017-18,349,95,94,72,88,176,50.4%,173,49.6%,7,,184,0.527,148,0.424,,,,,,,,,,,,,,,,,,,,,,,,,34,18,52.9%,11,32.4%,,,,,,,34,27,79.4%,6,17.6%,,,,,,,0.9510000000000001
09X412,BRONX HIGH SCHOOL OF BUSINESS,All Students,2017-18,284,99,93,45,47,126,44.4%,158,55.6%,7,,65,0.22899999999999998,205,0.722,,,,,,,,,,,,,,,,,,,,,,,,,44,21,47.7%,19,43.2%,,,,,,,43,32,74.4%,8,18.6%,,,,,,,0.951
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,All Students,2017-18,362,114,101,71,76,198,54.7%,164,45.3%,,,304,0.84,40,0.11,10,2.8%,,,,,,,,,,,,,,,,,,,,,,,95,,,50,52.6%,27,28.4%,,,,,90,52,57.8%,30,33.3%,,,,,,,0.95
02M393,BUSINESS OF SPORTS SCHOOL,All Students,2017-18,426,130,122,90,84,178,41.8%,248,58.2%,6,,143,0.336,261,0.613,6,1.4%,10,2.3%,,,,,,,,,,,,,,,,,,,,,112,,,64,57.1%,,,,,,,107,53,49.5%,49,45.8%,,,,,,,0.9490000000000001
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",All Students,2017-18,496,126,136,112,122,280,56.5%,216,43.5%,7,,122,0.24600000000000002,348,0.7020000000000001,13,2.6%,6,1.2%,,,,,,,,,,,,,,,,,,,,,105,12,11.4%,37,35.2%,44,41.9%,12,11.4%,56,53.3%,105,47,44.8%,39,37.1%,,,,,,,0.9480000000000001
13K499,ACORN COMMUNITY HIGH SCHOOL,All Students,2017-18,193,47,44,60,42,82,42.5%,111,57.5%,,,153,0.7929999999999999,30,0.155,,,,,,,,,,,,,,,,,,,,,,,,,19,7,36.8%,7,36.8%,,,,,,,19,14,73.7%,,,,,,,,,0.948
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,All Students,2017-18,213,83,68,62,,,,,,6,,85,0.39899999999999997,117,0.5489999999999999,,,,,,,,,,,,,,,,,,,,,,,,,77,,,28,36.4%,37,48.1%,,,,,74,,,34,45.9%,,,,,,,0.948
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,All Students,2017-18,133,67,66,,,,,,,,,98,0.737,28,0.21100000000000002,7,5.3%,,,,,,,,,,,,,,,,,,,,,,,50,23,46.0%,17,34.0%,,,,,,,30,19,63.3%,8,26.7%,,,,,,,0.948
12X242,MOTT HALL V,All Students,2017-18,384,110,97,89,88,184,47.9%,200,52.1%,10,,64,0.16699999999999998,300,0.7809999999999999,,,,,,,,,,,,,,,,,,,,,,,,,91,,,39,42.9%,28,30.8%,,,,,67,50,74.6%,17,25.4%,,,,,,,0.948
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,All Students,2017-18,407,103,111,93,100,273,67.1%,134,32.9%,10,,272,0.6679999999999999,114,0.28,,,,,,,,,,,,,,,,,,,,,,,,,67,25,37.3%,27,40.3%,,,,,,,64,40,62.5%,19,29.7%,,,,,,,0.948
